Year,Month,Day,1hour,12hour,24hour,truth
2024,130,0,145095.96875,135909.125,133071.25,145619.1
2024,130,1,147503.140625,139723.90625,136504.3125,146472.7
2024,130,2,151669.5,143856.390625,139907.015625,149723.8
2024,130,3,156713.3125,147615.359375,143196.59375,154499.2
2024,130,4,160341.859375,150819.25,146534.90625,158632.5
2024,130,5,163041.21875,153372.765625,149163.59375,161847.8
2024,130,6,165795.25,154331.28125,150097.328125,165150.2
2024,130,7,166341.03125,153864.09375,149644.796875,167221.40000000002
2024,130,8,164981.625,152175.984375,147889.578125,167518.1
2024,130,9,164369.171875,149921.84375,146141.53125,167718.09999999998
2024,130,10,161912.8125,147316.3125,143965.09375,166363.8
2024,130,11,157451.65625,144525.84375,141433.96875,162874.9
2024,130,12,154594.125,142236.8125,138975.796875,159759.4
2024,130,13,151477.671875,140503.65625,136805.25,156488.0
2024,130,14,149840.03125,139731.984375,134628.25,154073.3
2024,130,15,148057.25,139312.140625,132965.5,152079.8
2024,130,16,146513.5625,138932.46875,132312.5625,150038.30000000002
2024,130,17,146028.03125,139503.34375,132773.734375,148743.69999999998
2024,130,18,146832.515625,140664.484375,133494.53125,148872.80000000002
2024,130,19,146744.875,141909.125,134211.46875,148722.9
2024,130,20,147100.40625,143198.46875,134476.65625,148895.0
2024,130,21,147630.78125,144034.640625,134609.734375,149229.2
2024,130,22,147813.5625,144318.875,135433.203125,148976.5
2024,130,23,149266.90625,144849.09375,136664.609375,149326.0
2024,131,0,149110.140625,146406.71875,139173.96875,148586.2
2024,131,1,151800.578125,149105.25,142890.421875,149468.1
2024,131,2,156910.640625,152381.515625,147022.9375,152994.4
2024,131,3,160554.96875,155400.140625,150787.125,156386.7
2024,131,4,166259.328125,157565.28125,153631.546875,161592.3
2024,131,5,169634.828125,159352.609375,155879.203125,166263.4
2024,131,6,170343.6875,160569.28125,156976.59375,168901.1
2024,131,7,171721.8125,161284.6875,156839.515625,171134.5
2024,131,8,170546.9375,161313.90625,156527.1875,171722.69999999998
2024,131,9,165235.78125,159481.125,155171.09375,168439.5
2024,131,10,161314.78125,156829.96875,152633.8125,165675.39999999997
2024,131,11,159004.90625,153427.328125,150006.125,163842.4
2024,131,12,156347.0625,150257.171875,147229.34375,161481.5
2024,131,13,154106.125,148068.25,144267.703125,159106.3
2024,131,14,154981.65625,145726.28125,141390.796875,159305.3
2024,131,15,156197.109375,144089.25,138776.0625,160195.5
2024,131,16,154933.0625,143319.15625,136852.59375,159313.90000000002
2024,131,17,153780.78125,143193.671875,136215.515625,157821.59999999998
2024,131,18,157485.6875,143745.6875,136208.71875,159401.59999999998
2024,131,19,165117.96875,144442.0,136983.0,166166.7
2024,131,20,169998.53125,144609.953125,138101.71875,172465.9
2024,131,21,177361.3125,144964.71875,138880.625,182063.5
2024,131,22,180889.921875,145646.609375,140517.5625,188151.3
2024,131,23,171357.15625,146615.21875,142723.90625,180906.1
2024,132,0,148011.625,148545.34375,146183.890625,160451.1
2024,132,1,146645.78125,151878.078125,150634.234375,154924.8
2024,132,2,153509.46875,155932.640625,154191.0625,158335.3
2024,132,3,154787.71875,159918.296875,157589.09375,159061.1
2024,132,4,147585.34375,163305.78125,160713.796875,152335.2
2024,132,5,142406.15625,166707.46875,162811.15625,147236.6
2024,132,6,133794.40625,169613.203125,163738.0,138291.4
2024,132,7,132955.390625,168653.796875,163179.8125,135793.90000000002
2024,132,8,134437.734375,165399.78125,160171.0,136828.7
2024,132,9,132822.40625,164549.640625,156839.0,135301.59999999998
2024,132,10,124900.8046875,160273.875,154089.46875,128437.09999999999
2024,132,11,114793.7421875,151500.0,150610.0625,117425.5
2024,132,12,108327.53125,144988.8125,147281.265625,109784.2
2024,132,13,105544.609375,141583.90625,145075.8125,104458.0
2024,132,14,108475.25,139487.734375,143648.65625,104237.0
2024,132,15,111843.1875,137928.046875,142894.109375,106072.5
2024,132,16,109646.40625,136930.34375,143205.46875,105695.5
2024,132,17,106011.265625,136335.90625,144321.328125,101742.5
2024,132,18,99564.1171875,138690.546875,147351.625,95038.4
2024,132,19,96798.0,141337.703125,149571.15625,90709.2
2024,132,20,96759.1171875,141983.0,152571.75,89187.3
2024,132,21,102065.1796875,141662.765625,157383.265625,92485.40000000001
2024,132,22,105969.0859375,137897.34375,156789.15625,98352.5
2024,132,23,106632.703125,129862.921875,150863.734375,101768.7
2024,133,0,109042.671875,125451.3515625,148283.6875,104137.4
2024,133,1,112886.53125,124524.46875,147939.75,108550.7
2024,133,2,116979.9375,123628.078125,147971.28125,113878.09999999999
2024,133,3,123579.34375,121634.359375,146856.625,120554.0
2024,133,4,131049.5703125,119382.3046875,143934.3125,129354.1
2024,133,5,135247.5,116014.046875,139457.046875,136315.3
2024,133,6,133261.96875,114397.984375,136813.03125,137852.3
2024,133,7,129075.0625,113706.609375,134490.859375,134855.3
2024,133,8,125025.75,112046.015625,131550.15625,130577.6
2024,133,9,123845.5625,108940.71875,126957.53125,129849.5
2024,133,10,124696.5234375,105822.359375,121360.3203125,132029.8
2024,133,11,126111.828125,102437.296875,116093.40625,134479.2
2024,133,12,126216.796875,99555.390625,112558.734375,135401.5
2024,133,13,122832.5546875,98319.6328125,110827.734375,133228.5
2024,133,14,117685.46875,97196.453125,108962.8515625,128281.5
2024,133,15,113806.296875,95735.296875,108266.25,123630.1
2024,133,16,111689.28125,93506.140625,109115.140625,120966.79999999999
2024,133,17,112752.375,90968.0625,108153.703125,121006.9
2024,133,18,115025.265625,89371.8984375,106564.140625,122772.9
2024,133,19,117461.1640625,89141.234375,106614.2734375,125232.40000000001
2024,133,20,118867.40625,91420.3203125,106279.703125,126512.4
2024,133,21,121019.421875,94572.5625,105980.296875,127813.3
2024,133,22,124741.3828125,98357.890625,103912.375,130415.4
2024,133,23,129588.3671875,102465.9921875,105834.9140625,134088.9
2024,134,0,134289.96875,106653.5,109268.546875,138130.69999999998
2024,134,1,135035.46875,110910.171875,112886.65625,139602.7
2024,134,2,136123.109375,115882.59375,115617.5234375,139777.9
2024,134,3,140036.96875,120879.734375,119876.8046875,141606.90000000002
2024,134,4,145579.375,124851.984375,122399.7265625,145166.6
2024,134,5,151836.96875,127118.4453125,123974.15625,152399.09999999998
2024,134,6,153361.765625,128235.6875,123931.078125,156894.1
2024,134,7,150494.921875,127944.8828125,122237.0625,156962.0
2024,134,8,144922.4375,127345.6875,119562.375,152266.2
2024,134,9,141790.21875,127187.3046875,117013.109375,148429.4
2024,134,10,141414.046875,127124.765625,116168.703125,146921.30000000002
2024,134,11,140827.5,125656.46875,115319.9375,146521.1
2024,134,12,140017.59375,123373.84375,114236.359375,146541.40000000002
2024,134,13,138596.015625,121598.5234375,112070.1328125,146065.90000000002
2024,134,14,135845.96875,121076.875,109031.734375,143680.9
2024,134,15,134434.25,121184.3359375,106105.59375,141656.9
2024,134,16,134217.5625,122765.6171875,104544.0234375,140686.69999999998
2024,134,17,134785.9375,124038.96875,105063.46875,140689.4
2024,134,18,136741.90625,125019.90625,106602.1328125,141978.59999999998
2024,134,19,138119.046875,125280.0625,108782.421875,143260.2
2024,134,20,138184.0,125263.71875,111512.3125,143700.19999999998
2024,134,21,138229.84375,125977.078125,113893.421875,143538.1
2024,134,22,139430.328125,127691.1015625,116973.03125,143334.9
2024,134,23,141344.625,130268.96875,120631.9296875,143817.9
2024,135,0,143653.625,132985.4375,124446.984375,144784.8
2024,135,1,147514.015625,135666.96875,128407.046875,146811.2
2024,135,2,152220.46875,138433.78125,132533.40625,150657.9
2024,135,3,156146.03125,140949.296875,135920.546875,154431.7
2024,135,4,159656.8125,143213.453125,138744.15625,158290.4
2024,135,5,163247.953125,144542.5,139650.96875,162672.0
2024,135,6,165233.125,144199.09375,138580.265625,166223.3
2024,135,7,166042.765625,142472.78125,136418.21875,168871.8
2024,135,8,165218.0,140569.28125,134702.015625,169521.6
2024,135,9,162369.59375,139030.0625,133274.15625,168080.0
2024,135,10,159053.59375,137596.484375,131566.90625,165634.6
2024,135,11,157443.015625,136571.0,129450.859375,164094.69999999998
2024,135,12,156886.03125,135321.5625,127123.5390625,163483.5
2024,135,13,155758.046875,134259.9375,124959.65625,162692.2
2024,135,14,154517.671875,133763.609375,123159.09375,161195.0
2024,135,15,153163.46875,133606.15625,122055.765625,159695.40000000002
2024,135,16,151380.21875,133828.78125,121486.234375,157779.4
2024,135,17,150760.96875,134730.234375,122012.3984375,156575.8
2024,135,18,150430.0,136338.78125,123454.3984375,155461.3
2024,135,19,151148.25,137693.3125,125075.375,155365.8
2024,135,20,151320.265625,138236.75,126726.1875,155295.4
2024,135,21,152347.453125,138413.59375,128731.9765625,155637.0
2024,135,22,153028.46875,139452.875,131587.921875,155712.9
2024,135,23,153212.125,141941.546875,134936.015625,155362.3
2024,136,0,153841.6875,145264.1875,138265.3125,154978.9
2024,136,1,157156.109375,148873.109375,141844.9375,156726.1
2024,136,2,161617.25,152270.078125,145227.8125,160552.9
2024,136,3,165451.03125,155340.234375,149010.015625,164429.09999999998
2024,136,4,168725.875,158300.703125,152248.90625,167568.3
2024,136,5,172029.75,160255.453125,154169.078125,171204.1
2024,136,6,175168.75,161063.625,154203.21875,174931.90000000002
2024,136,7,177207.953125,160763.75,153080.5625,178352.80000000002
2024,136,8,176673.3125,159541.125,151033.53125,179430.6
2024,136,9,175477.078125,157535.25,148531.453125,179385.0
2024,136,10,172178.65625,155175.5625,146910.375,177132.3
2024,136,11,168708.78125,152698.21875,146031.34375,173524.8
2024,136,12,165621.75,150568.53125,144513.09375,170011.5
2024,136,13,167901.53125,149412.0625,142805.953125,170897.6
